subscribers,category
21000000,Entertainment
21000000,nan
20900000,Education
20900000,Entertainment
20900000,Pets & Animals
20900000,People & Blogs
20900000,nan
20900000,Music
20800000,Comedy
20800000,Education
20700000,Entertainment
20700000,Howto & Style
20700000,Entertainment
20700000,People & Blogs
20700000,Sports
20600000,Entertainment
20600000,Comedy
20600000,Music
20500000,Entertainment
20500000,Gaming
20500000,Entertainment
20400000,Film & Animation
20400000,People & Blogs
20400000,Music
20400000,Entertainment
20400000,Entertainment
20400000,Music
20300000,Entertainment
20300000,Education
20300000,Education
20200000,Entertainment
20200000,Comedy
20200000,Entertainment
20200000,Education
20200000,Comedy
20200000,Comedy
20200000,Gaming
20100000,Entertainment
20100000,Music
20100000,Gaming
20100000,Entertainment
20100000,Film & Animation
20100000,Music
20100000,Howto & Style
20100000,Entertainment
20100000,People & Blogs
20000000,Entertainment
20000000,Music
20000000,Entertainment
20000000,Music
20000000,Film & Animation
19900000,Music
19800000,Science & Technology
19800000,People & Blogs
19800000,News & Politics
19700000,Comedy
19700000,People & Blogs
19700000,Film & Animation
19700000,Entertainment
19700000,Entertainment
19600000,Gaming
19600000,Shows
19600000,Entertainment
19600000,Film & Animation
19600000,Gaming
19500000,Entertainment
19400000,News & Politics
19400000,People & Blogs
19400000,Entertainment
19400000,Sports
19300000,nan
19300000,Science & Technology
19300000,Science & Technology
19200000,People & Blogs
19200000,Entertainment
19100000,Entertainment
19100000,Comedy
19100000,Film & Animation
19100000,Music
19000000,Education
19000000,Howto & Style
19000000,Film & Animation
19000000,Film & Animation
19000000,Music
19000000,Entertainment
18900000,People & Blogs
18900000,Shows
18900000,Education
18800000,Education
18800000,Entertainment
18800000,People & Blogs
18800000,nan
18800000,Music
18800000,Entertainment
18800000,Comedy
18700000,Entertainment
18700000,Gaming
18600000,Entertainment
18600000,nan
18600000,Music
18600000,Gaming
18500000,Music
18500000,Gaming
18500000,People & Blogs
18500000,People & Blogs
18500000,People & Blogs
18400000,Entertainment
18400000,Comedy
18400000,Music
18400000,People & Blogs
18400000,Music
18300000,People & Blogs
18300000,Entertainment
18300000,Gaming
18300000,Entertainment
18200000,People & Blogs
