Country,highest_monthly_earnings
Indonesia,68300
United States,511900
United States,561000
nan,0
nan,1900000
Brazil,72200
United States,2000000
Indonesia,109200
France,192400
United States,721600
South Korea,260000
nan,0
Brazil,219100
Australia,1600000
United States,0.02
United States,443100
United States,1000000
Spain,175300
nan,5500000
United States,34600
United States,206700
Argentina,110200
United States,74200
United States,116700
Vietnam,337900
United States,1800000
United States,410500
nan,0.02
India,1700000
United States,83
South Korea,13600000
South Korea,0
United States,389700
India,1400000
Indonesia,192700
nan,0
Brazil,141300
Ukraine,1500000
Malaysia,470900
Argentina,2600000
Thailand,220500
Mexico,109800
China,89400
Australia,0
Chile,400900
South Korea,44400
India,84200
India,1600000
India,439400
United States,393400
United States,1800000
Thailand,944000
Iraq,452000
nan,1700000
United States,185900
India,3400
India,1300000
Australia,62100
nan,61200
United States,209300
Brazil,290700
Australia,0.1
Argentina,334800
Spain,61600
Russia,148700
Indonesia,183200
United States,7000
United Kingdom,375100
India,30500
nan,0
United States,199300
India,291600
United States,43600
United States,6500
United States,145400
India,359100
United States,1100000
Brazil,598200
nan,0
nan,0
nan,0
Indonesia,171300
Brazil,176500
nan,0.03
United States,420500
United States,182800
United States,150
Mexico,64600
Philippines,60300
Mexico,0
Spain,262
India,236800
India,616200
India,356000
Germany,2500000
United States,796100
United States,87800
United States,451900
India,524800
United States,97500
United States,72100
Thailand,37400
United States,532800
Thailand,351000
nan,0
nan,0
Thailand,725500
United States,119
United States,115100
United States,170800
United Kingdom,154400
United Kingdom,343100
United States,352000
India,605900
United States,71800
United Kingdom,12300
United States,253800
United States,103600
Brazil,132100
United Kingdom,111200
Vietnam,1000000
Thailand,899000
Singapore,468800
United States,152
Spain,0.02
nan,2
Indonesia,38500
nan,0
United States,128000
Brazil,55200
nan,394900
United States,1600000
France,3
Sweden,1900000
United States,1100000
Mexico,0
nan,296200
India,57100
Mexico,18800
nan,0
Mexico,449600
Russia,0
United States,39700
United States,8000
Argentina,256300
Brazil,545600
United States,659600
